"Entity,Day,""Daily new confirmed cases of COVID-19 per million people in Germany"""
Germany,2020-03-01,0.23615229
Germany,2020-03-02,0.23615229
Germany,2020-03-03,0.23615229
Germany,2020-03-04,0.23615229
Germany,2020-03-05,0.23615229
Germany,2020-03-06,0.23615229
Germany,2020-03-07,0.23615229
Germany,2020-03-08,1.5375383
Germany,2020-03-09,1.5375383
Germany,2020-03-10,1.5375383
Germany,2020-03-11,1.5375383
Germany,2020-03-12,1.5375383
Germany,2020-03-13,1.5375383
Germany,2020-03-14,1.5375383
Germany,2020-03-15,10.942855
Germany,2020-03-16,10.942855
Germany,2020-03-17,10.942855
Germany,2020-03-18,10.942855
Germany,2020-03-19,10.942855
Germany,2020-03-20,10.942855
Germany,2020-03-21,10.942855
Germany,2020-03-22,38.06809
Germany,2020-03-23,38.06809
Germany,2020-03-24,38.06809
Germany,2020-03-25,38.06809
Germany,2020-03-26,38.06809
Germany,2020-03-27,38.06809
Germany,2020-03-28,38.06809
Germany,2020-03-29,57.73159
Germany,2020-03-30,57.73159
Germany,2020-03-31,57.73159
Germany,2020-04-01,57.73159
Germany,2020-04-02,57.73159
Germany,2020-04-03,57.73159
Germany,2020-04-04,57.73159
Germany,2020-04-05,61.275574
Germany,2020-04-06,61.275574
Germany,2020-04-07,61.275574
Germany,2020-04-08,61.275574
Germany,2020-04-09,61.275574
Germany,2020-04-10,61.275574
Germany,2020-04-11,61.275574
Germany,2020-04-12,46.117653
Germany,2020-04-13,46.117653
Germany,2020-04-14,46.117653
Germany,2020-04-15,46.117653
Germany,2020-04-16,46.117653
Germany,2020-04-17,46.117653
Germany,2020-04-18,46.117653
Germany,2020-04-19,29.468067
Germany,2020-04-20,29.468067
Germany,2020-04-21,29.468067
Germany,2020-04-22,29.468067
Germany,2020-04-23,29.468067
Germany,2020-04-24,29.468067
Germany,2020-04-25,29.468067
Germany,2020-04-26,20.983576
Germany,2020-04-27,20.983576
Germany,2020-04-28,20.983576
Germany,2020-04-29,20.983576
Germany,2020-04-30,20.983576
Germany,2020-05-01,20.983576
Germany,2020-05-02,20.983576
Germany,2020-05-03,12.643492
