"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2009","30,3110","30,3135","30,3135","30,3135","","0,00%"
"30.12.2009","30,3110","30,1503","30,3495","30,1425","","0,55%"
"29.12.2009","30,1450","29,7305","30,1680","29,7168","","1,44%"
"28.12.2009","29,7180","29,5577","29,7300","29,5537","","0,57%"
"25.12.2009","29,5490","29,5924","29,6660","29,3221","","-0,13%"
"24.12.2009","29,5875","30,2053","30,2200","29,4829","","-2,03%"
"23.12.2009","30,2000","30,5703","30,5885","30,1794","","-1,23%"
"22.12.2009","30,5750","30,5452","30,6118","30,4123","","0,10%"
"21.12.2009","30,5444","30,6265","30,6977","30,4443","","-0,22%"
"18.12.2009","30,6109","30,8175","30,9020","30,5638","","-0,63%"
"17.12.2009","30,8057","30,2373","30,8858","30,2298","","1,90%"
"16.12.2009","30,2315","30,1695","30,3658","30,0802","","0,22%"
"15.12.2009","30,1665","30,0673","30,3625","29,9688","","0,33%"
"14.12.2009","30,0665","30,0793","30,2090","29,9590","","-0,03%"
"11.12.2009","30,0755","30,4100","30,4239","29,9410","","-1,02%"
"10.12.2009","30,3850","30,4229","30,7472","30,3025","","-0,12%"
"09.12.2009","30,4219","30,6112","30,9630","30,3155","","-0,63%"
"08.12.2009","30,6133","29,9293","30,6368","29,8748","","2,31%"
"07.12.2009","29,9230","29,5190","29,9458","29,4283","","1,31%"
"04.12.2009","29,5362","29,1818","29,5649","29,1538","","1,24%"
"03.12.2009","29,1758","29,3573","29,3618","29,1150","","-0,60%"
"02.12.2009","29,3515","29,0688","29,3670","29,0125","","1,01%"
"01.12.2009","29,0580","29,2315","29,2752","29,0328","","-0,58%"
"30.11.2009","29,2270","29,2612","29,3448","28,9667","","-0,26%"
"27.11.2009","29,3025","29,2405","29,9346","29,2357","","0,20%"
"26.11.2009","29,2426","28,7599","29,3054","28,7411","","1,68%"
"25.11.2009","28,7590","28,8270","28,8800","28,6270","","-0,13%"
"24.11.2009","28,7970","28,7815","28,8958","28,7500","","-0,02%"
